"id","group","geno","r"
"HHALUNAUUN","0","R",0.134208
"GUTDNHTTAA","0","R",0.190607
"UUWAULWHNI","0","S",0.05
"GLWAUTHLGL","1","S",0.30825
"HUWHUAIDHW","1","R",0.243747
"NTWGIANDN","0","S",0.05
"WDGAGUIGT","1","R",0.150859
"GGUNIGLDHL","0","R",0.05
"GNUHLADAII","0","S",0.05
"ULALWIHHD","0","S",0.05
"HTAAIUHNUA","1","R",0.226749
"TWDDNHNGT","0","S",0.05
"HHTUUANAGN","0","R",0.05
"LTLIGDGLU","0","R",0.05
"UGAGLLUIL","0","S",0.199302
"UWDAATNGWT","0","S",0.05
"HWLGHWAUTI","0","S",0.05
"GAHNAWTHGN","0","S",0.05
"GAHWLLLADH","1","R",0.241204
"GITGUWWDLT","1","S",0.187664
"GLAWATIIGT","0","S",0.05
"UWLGHUIDGH","0","S",0.05
"HNDTDWGNWI","1","R",0.259214
"THALNTTHNW","0","R",0.05
"GTUUDTNNDN","0","R",0.265557
"UWWGHLNWA","1","R",0.211895
"GDAHWLHHWA","0","S",0.05
"TAULIIWGT","1","S",0.331881
"DNULGNUIU","0","S",0.05
"GTWWHGNWHU","0","R",0.05
"TGNTIGLHND","0","S",0.05
"UWHUGWGWNG","1","R",0.281104
"TGLDTUGHII","0","R",0.05
"HITTILWHUA","0","R",0.05
"UHTDNAUHUN","0","S",0.261599
"NNLNNUAWA","1","R",0.176038
